isic_id,coll,label,bg_attr_mean_p6,fg_attr_mean_p6,bg_fg_ratio_p6,r_share_p6,g_share_p6,b_share_p6,total_abs_p6,bg_attr_mean_p10,fg_attr_mean_p10,bg_fg_ratio_p10,r_share_p10,g_share_p10,b_share_p10,total_abs_p10
ISIC_0025301,212,1,0.017463319003582,0.020729776471853256,0.84242678773182,0.5327194375368345,0.3352108241785457,0.1320697382846195,2700.3460998535165,0.02418031357228756,0.023457059636712074,1.0308331029880462,0.5070104635674618,0.36176544661584836,0.13122408981668957,3537.7938232421884
ISIC_0034416,212,1,0.007418965455144644,0.011884101666510105,0.6242765051439773,0.34855540347968095,0.4451913086070194,0.20625328791329903,1366.8532104492197,0.005529241636395454,0.010781098157167435,0.5128644184284262,0.3318465567257965,0.46899176488900207,0.19916167838520063,1136.281784057618
ISIC_0026687,212,1,0.017392199486494064,0.015786273404955864,1.1017292707621575,0.45355045957509205,0.33351982163281896,0.21292971879208863,2561.019104003907,0.012015114538371563,0.014176075346767902,0.8475628299415726,0.44099159957430273,0.35021135056570857,0.2087970498599882,1776.498046875001
ISIC_0031087,212,1,0.020685896277427673,0.0133352130651474,1.551223529490642,0.43789880082975113,0.3846719870252295,0.17742921214501908,2850.107635498048,0.01566530019044876,0.01130293495953083,1.3859497773398677,0.4411860163136942,0.38407550938459906,0.17473847430170636,2191.1597595214853
ISIC_0032441,212,1,0.008824759162962437,0.0027849532198160887,3.168727970068094,0.345048701125549,0.37870518420604576,0.27624611466840454,1273.2146911621103,0.008533688262104988,0.00904983188956976,0.9429664955368238,0.33406423575709704,0.39205935213312615,0.2738764121097761,1260.740478515626
ISIC_0027328,212,1,0.011497551575303078,0.009366292506456375,1.2275456449152728,0.37594535907672183,0.41150837944413393,0.21254626147914368,1573.8627624511728,0.005725093185901642,0.005383550655096769,1.0634418718585892,0.3738747797885914,0.4174849735975726,0.2086402466138348,824.7253112792979
ISIC_0031266,212,1,0.018833233043551445,0.01299978792667389,1.4487338677970336,0.3453200140389447,0.42989231120377547,0.22478767475727948,2521.410949707032,0.009182739071547985,0.006960957311093807,1.3191776161180133,0.3546570312774145,0.4285929965585406,0.21674997216404415,1256.6758728027353
ISIC_0032841,212,1,0.006373366806656122,0.0307319276034832,0.20738584604545782,0.2572232204012551,0.5326727696397281,0.21010400995901624,1636.9088439941415,0.006626952439546585,0.02719838358461857,0.24365243687842936,0.2660500011790615,0.5275588415105317,0.20639115731040628,1565.9176635742197
ISIC_0056869,249,0,0.014547141268849373,0.004798457957804203,3.0316283682740055,0.23230033673375478,0.5458931919503313,0.22180647131591344,1645.6089477539072,0.010065187700092793,0.009159669280052185,1.098859292006605,0.24683258955335424,0.5415765370579702,0.21159087338867497,1437.7798767089853
ISIC_0066235,249,0,0.007113046944141388,0.013271591626107693,0.5359603538545219,0.34032938723218453,0.39579978077472094,0.26387083199309375,1146.6715698242197,0.00462333532050252,0.008758613839745522,0.5278615320979659,0.3184228871178194,0.40608661925907746,0.27549049362310174,747.4150695800791
ISIC_0053647,249,0,0.010688585229218006,0.02948189526796341,0.3625474255324687,0.27084004823952545,0.5278073081506746,0.20135264360979951,1749.5398559570322,0.010004587471485138,0.0261017307639122,0.3832921104725096,0.27347007845238774,0.5183856257162142,0.2081442958313976,1623.7969360351572
ISIC_0058233,249,0,0.024605439975857735,0.006797076668590307,3.6200033007661845,0.30114054910475335,0.5154235559673322,0.1834358949279141,2635.1897888183603,0.014750193804502487,0.010717272758483887,1.3763010550259724,0.3014982904252278,0.5130476073018744,0.18545410227289738,1950.1209411621103
ISIC_0055283,249,0,0.008698240853846073,0.003539975732564926,2.4571470289553856,0.2787871225917716,0.5429514189186616,0.17826145848956607,1260.1073303222665,0.0068070110864937305,0.009711437858641148,0.7009272144430101,0.283003799880506,0.5346497957500794,0.18234640436941352,1016.4038391113291
ISIC_0053466,249,0,0.013471575453877449,0.005840808153152466,2.306457445722887,0.3079942062748975,0.4946727794140791,0.19733301431102288,1674.4273681640634,0.013650746084749699,0.00491912430152297,2.7750358088173135,0.31304187017097784,0.4945181719674836,0.192439957861538,1655.8309631347665
ISIC_0063186,249,0,0.016294162720441818,0.024569794535636902,0.6631786316653233,0.30155027471368356,0.48677408120148935,0.21167564408482675,2499.761718750001,0.009000592865049839,0.010394776239991188,0.8658765381040534,0.31475108095042525,0.4831307634231045,0.20211815562646956,1343.547882080079
ISIC_0070884,249,0,0.01370962243527174,0.005580274388194084,2.456800773860963,0.23805348499724915,0.5483181165303161,0.21362839847243412,1438.5616760253915,0.009737909771502018,0.00985383428633213,0.9882355932257856,0.25171915974809356,0.5456014924385664,0.2026793478133395,1444.2268981933603
ISIC_0073080,249,0,0.00841166265308857,0.030824221670627594,0.27289132367952196,0.19222783228582727,0.5365211156493801,0.271251052064792,1394.055450439454,0.003757108934223652,0.018380679190158844,0.20440533754787674,0.19229994304220321,0.5324849097170469,0.2752151472407484,654.2967910766612
ISIC_0060632,249,0,0.005612215492874384,0.01826356165111065,0.3072903084340667,0.2504305784777255,0.49675043457390317,0.2528189869483706,1283.2056884765634,0.004258389119058847,0.014061221852898598,0.3028463076401158,0.24837111294015637,0.4953098670231356,0.256319020036707,980.9838104248057
